Landmark,Alternate Names,Construction,Destruction,Maps Photo Should Appear on,Construction or Demolition Notes,Manner of Destruction,Test Photo File Name,Image File Name,Image Type,Year of Image,Use Image?,Usage notes,Image Download Location,Image Credit at Download Location,Download URL,Description,X Location,Y Location,Notes,Alternate Image 1 File Name,Alternate Image 1 Image Type,Year of Alternate Image 1,Use Alternate Image 1?,Alternate Image 1 Usage Notes,Alternate Image 1 Download Location,Alternate Image 1 Credit at Download Location,Alternate Image 1 Download URL,Alternate Image 2 File Name,Alternate Image 2 Image Type,Year of Alternate Image 2,Use Alternate Image 2?,Alternate Image 2 Usage Notes,Alternate Image 2 Download Location,Alternate Image 2 Credit at Download Location,Alternate Image 2 Download URL,x,y
Frost Building,Baptist Sunday School Board Building,"1913",extant,"1929, 1952",,,testimage3.png,baptist-sunday-school-board-building-ca1996.jpg,photo,ca 1996,yes,"1928 or later, author known, copyright uncertain",Nashville Library,Charles  Warterfield,https://digital.library.nashville.org/digital/collection/nr/id/2328,"The four-story neoclassical building was built to house the operations of the Southern Baptist Sunday School Board. In 1955 the name was changed to honor James M. Frost (1848�1916), the first head of the Sunday School Board, now known as Lifeway Christian Resources.","5029","5601",,,,,,,,,,,,,,,,,,52.140090,43.621902
Belair,,"1827",extant,"1871, 1903, 1929, 1952",,,testimage4.png,belair.png,photo,,yes,"1928 or later, no copyright",LoC,,https://www.loc.gov/resource/hhh.tn0011.photos/?sp=1,"Belair was a wedding present from the owner of Belle Meade, John Harding (1777�1867), to his daughter, Elizabeth (1812-1836), in 1832. Two years after Elizabeth's death, former mayor of Nashville William Nichol (1800�1878) purchased the house, adding the wings. When Briley Parkway was built in the 1960s, the owners were able to save the house from demolition.","6773","5397",,,,,,,,,,,,,,,,,,69.926035,45.741289
Belmont Baptist Church,,"1906",extant,"1929, 1952",,,testimage1.png,belmont-baptist-church.png,photo,circa 1910,yes,before 1928,Nashville Library,,https://digital.library.nashville.org/digital/collection/nr/id/672/,,,,,,,,,,,,,,,,,,,,,,
Belle Meade Mansion,,1820s,extant,"1871, 1903, 1929, 1952",,,testimage3.png,belle-meade-mansion-1884.png,photo,"1884",yes,before 1928,Belle Meade Mansion,,https://visitbellemeade.com/history/timeline/,"John Harding (1777�1867) bought 250 acres alongside Richland Creek in 1807. In the early 1820s, he built a two-story, brick, Federal-style home and named it Belle Meade, a hybrid French-English term meaning ""beautiful meadow"". His son William Giles Harding (1808�1886) took over the plantation in 1839 and in 1854 transformed the older house into a much larger Greek Revival mansion. A two-story addition, connected to the main structure by a breezeway, was added to the right side of the house. A portico and a pediment were added to the facade. Chimneys were built on each end of the main structure, an attic was added, and the exterior was stuccoed.
Records show that just before the Civil War, Harding used 136 slaves to run the farm. He was a supporter of the Confederacy and a brigadier general in the Tennessee militia. When Union troops occupied Nashville, he was arrested and sent to Fort Mackinac for six months before being released. When slavery ended, about half of the former slaves chose to become employees of the farm.
In 1868 Harding's daughter Selene (1846�1892) married William Hicks Jackson (1835�1903), who began to share the management of the farm with Harding. They expanded breeding operations, raising cattle, horses, goats, and sheep. In the 1880s Jackson added hot and cold running water, bathrooms, and a telephone to the mansion. The Panic of 1893 and efforts by churches to curtail horse racing and the associated gambling hurt the business of the farm, and the family was forced to sell off acreage. 
After Jackson's death in 1903, the family sold the mansion and the remaining property. The Belle Meade Land Company bought the bulk of the farm, developing it into the suburb of Belle Meade. The state of Tennessee purchased the last 24 acres, including the mansion, in 1953 and turned it over to the Association for the Preservation of Tennessee Antiquities. It is now a museum, restaurant, and winery.","3560","6871",,belle-meade-mansion-1955.png,photo,"1955 ",yes,"1928 or later, author and copyright uncertain",TSLA,,https://tnsos.org/tsla/imagesearch/citation.php?ImageID=19216,belle-meade-mansion-1970.png,photo,"1970 ",yes,"1928 or later, author and copyright uncertain",TSLA,,https://tnsos.org/tsla/imagesearch/citation.php?ImageID=27148,37.179768,30.635449
Belmont Mansion,,"1853",extant,"1871, 1903, 1929, 1952",,,testimage4.png,belmont-mansion-1891.png,photo,circa 1891,yes,before 1928,Belmont University,,https://news.belmont.edu/belmont-releases-125th-anniversary-history-book/,"Adelicia Acklen (1817�1887), daughter of attorney and Presbyterian minister Oliver Bliss Hayes (1783�1858) , in 1839 married Isaac Franklin, a man 30 years her senior. Franklin had amassed a huge fortune as a slave trader, but at Adelicia's request he gave up the slave trade and became a planter when they wed. Franklin passed away in 1846, leaving his fortune, which included several plantations in other states, to his wife and making her possibly the richest woman in the US. 
In 1849 Adelicia remarried, choosing Joseph Acklen (1816�1863), the US attorney for the North Alabama district. The couple began building Belmont soon after their wedding in May, 1849, with construction lasting three years. The house was the centerpiece of a 177-acre estate that featured it own gas lighting system, gardens, a greenhouse, a conservatory, a zoo, an art gallery, a lake, an aviary, a bowling alley, and a billiard parlor.
When Union troops took possession of Nashville in 1862, Joseph left for the family's plantations in Louisiana while Adelicia stayed behind in Nashville. 2800 bales of cotton, worth nearly a million dollars and representing much of the family's remaining assets, had accumulated on the plantation and could not be sold. Both Union and Confederate armies were operating in the area of the plantation, and both sides would have rather burned the cotton than risk the other side benefiting from it. 
In September 1863 Joseph died at the plantation. On January 1st Adelicia left for Louisiana with Sarah Carter, a cousin. On arrival they learned that Confederate General Leonidas Polk had ordered the burning of the cotton. Sarah made the 150-mile trip to Polk's headquarters and managed to persuade the general, an acquaintance of Adelicia's, to rescind his order but also secured Confederate protection and assistance in hauling the cotton to the Mississippi River. The river, however, was controlled by Union gunboats. Adelicia then located Admiral David Porter and improbably negotiated the use of a Union gunboat to carry the cotton to New Orleans, and from there a blockade runner was able to get the cotton to Liverpool, England. 
Later the same year (1864) a Confederate army under General John Bell Hood attacked Franklin, Tennessee before advancing on Nashville in December. Arriving at the beginning of the month, Hood's army dug in as best they could and waited for the order to attack. Union forces had had nearly three years to create a ring of forts and earthworks around the city, and Belmont mansion was just outside of the Union defensive perimeter. During the two-week standoff and the battle that followed, Belmont was the headquarters of Union General George Thomas and a campsite for 13,000 Union soldiers. The fighting took place to the south of the mansion, and little damage was done to the house during the battle, though the grounds and some outbuildings were damaged.
After the war Adelicia married a third time, this time to Dr. William Cheatham. Over the years that followed Adelicia sold off her plantations and, in an apparent separation from Cheatham, departed Nashville in 1884 with three of her grown children. In January 1887, shortly begore her death and while living in Washington DC, Adelicia sold Belmont to Lewis Baxter, a developer. Two years later Baxter sold part of the estate, including the mansion, to schoolteachers Ida Hood and Susan Heron, who opened Belmont Women's College in 1890. The school subsequently underwent several name changes, becoming Ward�Belmont College in 1913, Belmont College in 1951, and Belmont University in 1991.","4824","6165",,,,,,,,,,,,,,,,,,50.059788,37.864590
Berry School,,"1938","1947",none,,burned,testimage3.png,berry-school.jpg,photo,,yes,,Nashville Library,,https://digital.library.nashville.org/digital/collection/nr/id/10399/rec/10,,,,,,,,,,,,,,,,,,,,,,
Bonnie Brae,,"1914",ca 1970,"1929, 1952",,,testimage4.png,bonnie-brae.jpg,photo,,yes,,Nashville Library,,https://digital.library.nashville.org/digital/collection/nr/id/4280/rec/774,,,,,,,,,,,,,,,,,,,,,,
Bennie Dillon Building,,"1926",extant,"1929, 1952",,,testimage1.png,bennie-dillon-building-1926.jpg,photo,circa 1926,yes,before 1928,Nashville Library,Wiles-Hood,https://digital.library.nashville.org/digital/collection/nr/id/8528/rec/53,"The 12-story Renaissance Revival Bennie Dillon building was a project of businessmen George Bennie (?�1923) and William Dillon (1866�1934). Bennie died before the start of construction, but his heirs elected to proceed with with the project. It was built as an office building but was converted to condos in 1999.","5038","5558",,,,,,,,,,,,,,,,,,52.231070,44.060700
Bowen School,,,,"1903",,?,testimage1.png,bowen-school-1905-1.jpg,photo,ca 1905,yes,before 1928,Nashville History blog,,https://nashvillehistory.blogspot.com/2015/09/nashville-points-of-interest-1905.html,,,,1309 Broadway,,,,,,,,,,,,,,,,,,
Boscobel,,ca 1850,"1940","1871, 1903, 1929",,demolished,testimage2.png,boscobel-1908.jpg,tinted photo,"1908",yes,before 1928,Worthpoint,,https://www.worthpoint.com/worthopedia/boscobel-college-main-building-nashville-tn,"Boscobel was built by John Shelby (1785�1859) as a gift to his elder daughter Anna Barrow (1813�?). It later became the home of Boscobel College, which operated from 1889 to 1914, and then the National Baptist Seminary and Missionary Training School from 1918 to 1931. The mansion was razed and replaced by the James Cayce Homes, a public housing project.","5507","5468",,boscobel-ca1914.png,tinted photo,ca 1914,yes,before 1928,Nashville Library,S.H. Kress & Co.,https://nashville.contentdm.oclc.org/digital/collection/nr/id/813,boscobel.jpg,photo,,yes,before 1928,TSLA,,https://tnsos.org/tsla/imagesearch/citation.php?ImageID=462,57.013428,44.989075
Brandon Printing Building,,"1892",extant,"1903",,,testimage3.png,brandon-printing-building-1960.png,photo,"1960",yes,"1928 or later, author and copyright uncertain",TeVa,,https://teva.contentdm.oclc.org/digital/collection/p15138coll25/id/1456/rec/14,"The Brandon Printing Building was designed by Julian Zwicker, also the architect of the Silver Dollar Saloon. The printing company occupied the building for many years. Washington Manufacturing moved in in 1939 and made jeans there until the 1980s.","5147","5482","The Brandon Printing Company was built in 1892. The architect was Julian G. Zwicker, who also designed One Hundred Oaks Castle in Winchester, Tennessee, and the Silver Dollar Saloon at Second and Broadway. In 1939, the Washington Manufacturing Company took over the building and continued to make DC jeans there until the 1980s. Notice the wonderful terra cotta on this building. A satyr head is on the capitals to the pilasters on the ground floor, and a dragon with open wings is holding up the balcony at the top. This dragon is seen in a larger size across the river at Tulip Street Methodist Church.",,,,,,,,,,,,,,,,,53.341478,44.838309
Briggs Infirmary,,,,"1903",,,testimage4.png,briggs-infirmary.jpg,photo,"1894",yes,before 1928,TSLA,,https://tnsos.org/tsla/imagesearch/citation.php?ImageID=3013,Briggs Infirmary was founded in 1890 by Dr. William Thompson Briggs (1828�1894) and his sons Charles (1851�1920) and Samuel (1867�1944). It operated until Charles's death in 1920.,"5219","5688",Dr. Briggs opened the Briggs Infirmary on Third Avenue and Peabody Street in Nashville in 1891 with his two sons Charles Stubbins Briggs (1851 � 1920) and Samuel Stubbins Briggs (1867 � 1944). Briggs Infirmary closed in 1920. ,,,,,,,,,,,,,,,,,54.079875,42.738711
Corinthian Lodge 414,Broadway Presbyterian Church,"1910",circa 2005,"1929, 1952",,demolished,testimage1.png,broadway-presbyterian-church-1911.jpg,photo,"1911",yes,before 1928,Nashville Library,,https://digital.library.nashville.org/digital/collection/nr/id/1035/rec/528,"Built as the home of the Broadway Presbyterian Church about 1910, the church became Corinthian Lodge 414 in 1921. Beginning around 2005 the entire block, including the Corinthian lodge, was cleared and excavated for a large construction project that failed, leaving a block-sized, 80-foot-deep hole that was partly filled with water for 13 years. The body of water was derisively named Lake Palmer after the developer and appeared on Google Maps as such. In 2018 the land was sold to a new developer, and in the following year construction began on the Broadwest Building.","4842","5738",,,,,,,,,,,,,,,,,,50.235205,42.220370
Buford College,,"1905",,,,,testimage3.png,buford-college-1905.jpg,tinted photo,"1905",yes,before 1928,Nashville History blog,Southern Education Association,https://nashvillehistory.blogspot.com/2015/09/nashville-points-of-interest-1905.html,"Buford College was founded in Clarksville in 1886 by E.G. (1842�1919) and Elizabeth Buford (1849�1920). The Bufords moved the college to the Glendale area south of Nashville in 1900. Businessman O.F. Noel (1821�1914) contributed the land and the two buildings. The student body consisted of 16-to-20-year-old girls, 100 students per class. Within a year or two of Noel's death, the school relocated to the former Samuel Murphy estate at 21st Avenue and Church Street.","5056","6949","Buford College, the distinctively ""University-preparatory"" college in the South for women, was founded in 1905. The 25 acre campus was located on the south side of Caldwell Lane, east of General Bates Drive, on land later to be occupied buy the Glendale Park and zoo. 

https://nashvillehistoricalnewsletter.com/2021/10/12/strength-and-beauty-buford-college-of-nashville-1901-1920/",buford-college-ca1907.jpg,tinted photo,ca 1907,yes,before 1928,Ebay,,https://www.ebay.com/itm/371288527666,,,,,,,,,52.441374,29.872959
Caldwell School,,"1940",extant,"1952",,,testimage2.png,caldwell-school.jpg,photo,,yes,,Metro Archives,,http://nashvillearchives.org/schools-photos.html,,,,,,,,,,,,,,,,,,,,,,
Cameron Junior High,,"1940",extant,"1952",,,testimage3.png,cameron-junior-high-school.jpg,photo,,yes,,Nashville Library,,https://digital.library.nashville.org/digital/collection/nr/id/10392/rec/172,,,,,,,,,,,,,,,,,,,,,,
Carroll Street Methodist Church,,,,,,,testimage4.png,carroll-street-methodist-church-1970.jpg,photo,"1970",yes,,TSLA,,https://tnsos.org/tsla/imagesearch/citation.php?ImageID=3033,,,,  ,,,,,,,,,,,,,,,,,,
Cavert School,,"1928",extant,"1929, 1952",,,testimage1.png,cavert-school-1949.jpg,photo,"1949",yes,,Nashville Library,,https://digital.library.nashville.org/digital/collection/nr/id/152,,,,,,,,,,,,,,,,,,,,,,
Centennial Club,,,,,,,testimage2.png,centennial-club-1909.jpg,photo,"1909",yes,,TSLA,,https://tnsos.org/tsla/imagesearch/citation.php?ImageID=3035,,,,,,,,,,,,,,,,,,,,,,
Burlington,,"1859","1932","1871, 1903, 1929",,demolished,testimage1.png,burlington.png,photo,,yes,before 1928,Wikipedia,,"https://en.wikipedia.org/wiki/Burlington_(Nashville,_Tennessee)","Burlington was built by William Elliston (1815�1870) and his wife Elizabeth (1820�1904) on the plantation he inherited from his father, Joseph Elliston. Some of the materials from the house were reused in the construction of a new house, also called Burlington, in Green Hills.","4603","5851",,,,,,,,,,,,,,,,,,47.799429,41.062486
Central Hospital for the Insane,,"1857","1999","1871, 1903, 1929, 1952",,demolished,testimage4.png,central-hospital-for-the-insane.jpg,photo,,yes,,TSLA,,https://tnsos.org/tsla/imagesearch/citation.php?ImageID=19252,,,,"Designed by Adolphus Heiman, located at the Dell site",,,,,,,,,,,,,,,,,,
Central High School,,"1921","1971","1929, 1952",,demolished,testimage3.png,central-high-school.jpg,photo,,ask,"1928 or later, author and copyright uncertain",Historic Nashville,,https://historicnashville.wordpress.com/2009/03/24/central-high-school/,"When Central High School opened in 1915, it was the first high school in the Davidson County school system. It is now the site of Nashville Public Television.","5356","6180",,,,,,,,,,,,,,,,,,55.486799,37.723365
Cheekwood,,"1932",extant,"1952",,,testimage2.png,cheekwood-mansion-1967,photo,"1967",yes,,TeVA,,https://teva.contentdm.oclc.org/digital/collection/p15138coll28/id/11614/rec/18,,,,,,,,,,,,,,,,,,,,,,
Central Tennessee College Administration Building,,"1876",,"1903",,Presumed demolished,testimage1.png,central-tennessee-college-administration-building-1894.jpg,photo,"1894",yes,before 1928,Metro Archives,,http://nashvillearchives.org/schools-photos.html,"Central Tennessee College was founded by the Methodist Episcopal Church in 1865. It moved to land on 1st Avenue South in 1868, utilizing a house already on the property and erecting two additional buildings. Enrollment outpaced available space, and in 1876 a larger building, known as the Administration Building, was opened. In 1922 Central Tennessee College, now known as Walden College, moved to Murfreesboro Pike, and in 1939 Cameron School was built on the former 1st Avenue South campus.","5348","5865",,,,,,,,,,,,,,,,,,55.399150,40.936174
Church of the Assumption,,"1858",extant,"1871, 1903, 1929, 1952",,,testimage4.png,church-of-the-assumption.jpg,photo,,yes,Attribution-ShareAlike 3.0,Wikipedia,Andrew Jameson,"https://en.wikipedia.org/wiki/Church_of_the_Assumption_(Nashville,_Tennessee)",,,,1227 7th Ave. north,,,,,,,,,,,,,,,,,,
Christ Church,,"1894",extant,"1903, 1929, 1952",,,testimage3.png,christ-church.jpg,photo,,yes,before 1928?,TSLA,,https://tnsos.org/tsla/imagesearch/citation.php?ImageID=3064,Christ Church is the cathedral church of the Episcopal Diocese of Tennessee. The tower was added in 1947.,,,,,,,,,,,,,,,,,,,,,
City Hall and Market House (1st),,"1855","1897","1871",,demolished,testimage3.png,city-hall-and-market-house-1st.jpg,photo,,yes,before 1928,Nashville History on Facebook,,https://www.facebook.com/nashvillehistory/photos/p.459677204228192/459677204228192/,"Nashville's second city hall and market house replace a similar structure built in 1829. The 1855 complex was designed by Adolphus Heiman (1809�1862) and continued the pattern of having a long, low section of market stalls bookended by two taller buildings mostly devoted to public purposes. The two-story buildings at each end were enlarged to three stories, each bearing two square cupolas. The first floor of both buildings may have been devoted to revenue-raising commercial space. The second floor of the south end held the offices of various city officials and departments: the mayor, the auditor, tax collectors, the treasurer, the city recorder, and the police department. The third floor was a courtroom. The north end housed assembly rooms for city councilmen on the second floor and meeting space for a fraternal organization, the Improved Order of Red Men, on the third.
The market stalls, also called the City Market or the Market House, are the direct ancestors of today's farmer's market. One key difference is that in addition to meat and produce, until 1864 human beings were sometimes sold there.
On the night of January 2nd, 1897, a fire broke out in Lebeck Brothers' dry goods store and spread to several nearby buildings before it could be extinguished. The south end of the city hall-market house complex, containing city offices, caught fire. A fire crew trying to access water in a cistern adjacent to city hall found that the cistern had been paved over. A crowd watching the proceedings chanted ""Let it burn!"", due either to their animosity toward city government or their disgust at the dilapidated state of the building. The south end was badly damaged and was replaced by a grander city hall the following year; the north end was undamaged.","5114","5452",,,,,,,,,,,,,,,,,,53.004283,45.143577
City Hospital (1st),,"1840",circa 1870,none,,demolished,testimage2.png,city-hospital-1st.jpg,photo,"1860",yes,,TSLA,,https://tnsos.org/tsla/imagesearch/citation.php?ImageID=3077,,,,"Presumably demolished by 1870.
The City Hospital is under the control of the Medical Faculty of the Nashville University. It is proper to state for the information of many not knowing to the fret, that this building was originally the State Lunatic Asylum. The increase of patients made it necessary to erect another larger and more commodious building for their accommodation, and the old building was taken for a hospital for the sick. It is located in the southwestern portion of the city, and presents a very respectable appearance.
A proposition is before the legislature to take it down, and appropriate the grounds, and erect a fine new mansion for the state executive.",,,,,,,,,,,,,,,,,,
City Hospital (4th),,"1890","2005","1903, 1929, 1952",,demolished,testimage4.png,city-hospital-4th-1.jpg,photo,,yes,,TSLA,,https://tnsos.org/tsla/imagesearch/citation.php?ImageID=27497,,,,,city-hospital-4th-2.jpg,,,,,Pinterest,,https://www.pinterest.com/pin/272749321156147600/,,,,,,,,,,
