Landmark,Also Known as,Construction,Destruction,Maps Photo Should Appear on,Construction or Demolition Notes,Manner of Destruction,Test Photo File Name,Image File Name,Year of Image,Use Image?,Usage notes,Image Download Location,Image Credit at Download Location,Download URL,Description,X Location,Y Location,Notes,Alternate Image 1,Alternate Image 1 Year,Alternate Image 1 Download Location,Alternate Image 1 Credit at Download Location,Alternate Image 1 Download URL,Alternate Image 2,Alternate Image 2 Year,Alternate Image 2 Download Location,Alternate Image 2 Credit at Download Location,Alternate Image 2 Download URL,X,y
Belle Meade Mansion,,1820s,extant,"1871, 1903, 1929, 1952",,,testimage3.png,belle-meade-mansion-1884.png,1884,,,Belle Meade Mansion,,https://visitbellemeade.com/history/timeline/,"John Harding bought 250 acres alongside Richland Creek in 1807. In the early 1820s, he built a two-story, brick, Federal-style home and named it Belle Meade, a hybrid French-English term meaning ""beautiful meadow"". His son William Giles Harding took over the plantation in 1839 and in 1854 transformed the older house into a much larger Greek Revival mansion. A two-story addition, connected to the main structure by a breezeway, was added to the right side of the house. A portico and a pediment were added to the facade. Chimneys were built on each end of the main structure, an attic was added, and the exterior was stuccoed.
Records show that just before the Civil War, Harding used 136 slaves to run the farm. He was a supporter of the Confederacy and a brigadier general in the Tennessee militia. When Union troops occupied Nashville, he was arrested and sent to Fort Mackinac for six months before being released. When slavery ended, about half of the former slaves chose to become employees of the farm.
In 1868 Harding's daughter Selene married William Hicks Jackson, who began to share the management of the farm with Harding. They expanded breeding operations, raising cattle, horses, goats, and sheep. In the 1880s Jackson added hot and cold running water, bathrooms, and a telephone to the mansion. The Panic of 1893 and efforts by churches to curtail horse racing and the associated gambling hurt the business of the farm, and the family was forced to sell off acreage. 
After Jackson's death in 1903, the family sold the mansion and the remaining property. The Belle Meade Land Company bought the bulk of the farm, developing it into the suburb of Belle Meade. The state of Tennessee purchased the last 24 acres, including the mansion, in 1953 and turned it over to the Association for the Preservation of Tennessee Antiquities. It is now a museum, restaurant, and winery.",3560,6871,,belle-meade-mansion-1955.png,1955,TSLA,,https://tnsos.org/tsla/imagesearch/citation.php?ImageID=19216,belle-meade-mansion-1970.png,1970,TSLA,,https://tnsos.org/tsla/imagesearch/citation.php?ImageID=27148,37.185,30.638
Belmont Mansion,,1853,extant,"1871, 1903, 1929, 1952",,,testimage4.png,belmont-mansion.png,,,,Pinterest,,https://www.pinterest.com/pin/252905335299205844/,"Adelicia Acklen, daughter of attorney and Presbyterian minister Oliver Bliss Hayes, in 1839 married Isaac Franklin, a man 30 years her senior. Franklin had amassed a huge fortune as a slave trader, but at Adelicia's request he gave up the slave trade and became a planter when they wed. Franklin passed away in 1846, leaving his fortune, which included several plantations in other states, to his wife and making her possibly the richest woman in the US. 
In 1849 Adelicia remarried, choosing Joseph Acklen, the US attorney for the North Alabama district. The couple began building Belmont soon after their wedding in May, 1849, with construction lasting three years. The house was the centerpiece of a 177-acre estate that featured it own gas lighting system, gardens, a greenhouse, a conservatory, a zoo, an art gallery, a lake, an aviary, a bowling alley, and a billiard parlor.
When Union troops took possession of Nashville in 1862, Joseph left for the family's plantations in Louisiana while Adelicia stayed behind in Nashville. 2800 bales of cotton, worth nearly a million dollars and representing much of the family's remaining assets, had accumulated on the plantation and could not be sold. Both Union and Confederate armies were operating in the area of the plantation, and both sides would have rather burned the cotton than risk the other side benefiting from it. 
In September 1863 Joseph died at the plantation. On January 1st Adelicia left for Louisiana with Sarah Carter, a cousin. On arrival they learned that Confederate General Leonidas Polk had ordered the burning of the cotton. Sarah made the 150-mile trip to Polk's headquarters and managed to persuade the general, an acquaintance of Adelicia's, to rescind his order but also secured Confederate protection and assistance in hauling the cotton to the Mississippi River. The river, however, was controlled by Union gunboats. Adelicia then located Admiral David Porter and improbably negotiated the use of a Union gunboat to carry the cotton to New Orleans, and from there a blockade runner was able to get the cotton to Liverpool, England. 
Later the same year (1864) a Confederate army under General John Bell Hood attacked Franklin, Tennessee before advancing on Nashville in December. Arriving at the beginning of the month, Hood's army dug in as best they could and waited for the order to attack. Union forces had had nearly three years to create a ring of forts and earthworks around the city, and Belmont mansion was just outside of the Union defensive perimeter. During the two-week standoff and the battle that followed, Belmont was the headquarters of Union General George Thomas and a campsite for 13,000 Union soldiers. The fighting took place to the south of the mansion, and little damage was done to the house during the battle, though the grounds and some outbuildings were damaged.
After the war Adelicia married a third time, this time to Dr. William Cheatham. Over the years that followed Adelicia sold off her plantations and, in an apparent separation from Cheatham, departed Nashville in 1884 with three of her grown children. In January 1887, shortly begore her death and while living in Washington DC, Adelicia sold Belmont to Lewis Baxter, a developer. Two years later Baxter sold part of the estate, including the mansion, to schoolteachers Ida Hood and Susan Heron, who opened Belmont Women's College in 1890. The school subsequently underwent several name changes, becoming Ward-Belmont College in 1913, Belmont College in 1951, and Belmont University in 1991.",4824,6165,,,,,,,,,,,,50.058,37.874
Bennie Dillon Building,,1926,extant,"1929, 1952",,,testimage1.png,bennie-dillon-building-1926.jpg,1926,,,Nashville Library,,https://digital.library.nashville.org/digital/collection/nr/id/8528/rec/53,"The 12-story Renaissance Revival Bennie Dillon building was a project of businessmen George Bennie and William Dillon. Bennie died in 1924 before the start of construction, but his heirs elected to proceed with with the project. It was built as an office building but was converted to condos in 1999.",5038,5558,,,,,,,,,,,,52.233,44.064
Boscobel,,ca 1850,1940,"1871, 1903, 1929",,demolished,testimage2.png,boscobel-1905-2.jpg,ca 1905,,,Worthpoint,,https://www.worthpoint.com/worthopedia/boscobel-college-main-building-nashville-tn,"Boscobel was built by John Shelby as a gift to his elder daughter Anna Barrow. It later became the home of Boscobel College, which operated from 1889 to 1914, and then the National Baptist Seminary and Missionary Training School from 1918 to 1931. The mansion was razed and replaced by the James Cayce Homes, a public housing project.",5507,5468,,boscobel-2.png,ca 1914,Nashville Library,,https://nashville.contentdm.oclc.org/digital/collection/nr/id/813,boscobel-1.jpg,ca 1914,TSLA,,https://tnsos.org/tsla/imagesearch/citation.php?ImageID=462,57.012,44.993
Brandon Printing Building,,1892,extant,1903,,,testimage3.png,brandon-printing-building-1960.png,1960, ,,TeVa,,https://teva.contentdm.oclc.org/digital/collection/p15138coll25/id/1456/rec/14,"The Brandon Printing Building was designed by Julian Zwicker, also the architect of the Silver Dollar Saloon. The printing company occupied the building for many years. Washington Manufacturing moved in in 1939 and made jeans there until the 1980s.",5147,5482,"The Brandon Printing Company was built in 1892. The architect was Julian G. Zwicker, who also designed One Hundred Oaks Castle in Winchester, Tennessee, and the Silver Dollar Saloon at Second and Broadway. In 1939, the Washington Manufacturing Company took over the building and continued to make DC jeans there until the 1980s. Notice the wonderful terra cotta on this building. A satyr head is on the capitals to the pilasters on the ground floor, and a dragon with open wings is holding up the balcony at the top. This dragon is seen in a larger size across the river at Tulip Street Methodist Church.",,,,,,,,,,,53.344,44.839
Briggs Infirmary,,,,1903,,,testimage4.png,briggs-infirmary.jpg,1894,yes,,TSLA,,https://tnsos.org/tsla/imagesearch/citation.php?ImageID=3013,Briggs Infirmary was founded in 1890 by Dr. William Thompson Briggs (1828-1894) and his sons Charles (1851-1920) and Samuel (1867-1944). It operated until Charles's death in 1920.,5219,5688,Dr. Briggs opened the Briggs Infirmary on Third Avenue and Peabody Street in Nashville in 1891 with his two sons Charles Stubbins Briggs (1851 - 1920) and Samuel Stubbins Briggs (1867 - 1944). Briggs Infirmary closed in 1920. ,,,,,,,,,,,54.08,42.743
Broadway Presbyterian Church,Corinthian Lodge 414,1910,circa 2005,"1929, 1952",,demolished,testimage1.png,broadway-presbyterian-church-1911.jpg,1911,yes,,Nashville Library,,https://digital.library.nashville.org/digital/collection/nr/id/1035/rec/528,"Built as the home of the Broadway Presbyterian Church about 1910, the church became Corinthian Lodge 414 in 1921. Beginning around 2005 the entire block, including the Corinthian lodge, was cleared and excavated for a large construction project that failed, leaving a block-sized, 80-foot-deep hole that was partly filled with water for 13 years. The body of water was derisively named Lake Palmer after the developer and appeared on Google Maps as such. In 2018 the land was sold to a new developer, and in the following year construction began on the Broadwest Building.",4842,5738,,,,,,,,,,,,50.233,42.229
Buford College,,1900,,1903,,,testimage3.png,buford-college-1905.jpg,1905,no,,Nashville History blog,Southern Education Association,https://nashvillehistory.blogspot.com/2015/09/nashville-points-of-interest-1905.html,"Buford College was founded in Clarksville in 1886 by E.G. and Elizabeth Buford. The Bufords moved the college to the Glendale area south of Nashville in 1900. Businessman O.F. Noel contributed the land and the two buildings. The student body consisted of 16-to-20-year-old girls, 100 students per class. Within a year or two of Noel's death in 1914, the school relocated to the former Samuel Murphy estate at 21st Avenue and Church Street.",5056,6949,"Buford College, the distinctively ""University-preparatory"" college in the South for women, was founded in 1905. The 25 acre campus was located on the south side of Caldwell Lane, east of General Bates Drive, on land later to be occupied buy the Glendale Park and zoo. 

https://nashvillehistoricalnewsletter.com/2021/10/12/strength-and-beauty-buford-college-of-nashville-1901-1920/",buford-college-ca1907.jpg,ca 1907,Ebay,,https://www.ebay.com/itm/371288527666,,,,,,52.441,29.877
Burlington,,1859,1932,"1871, 1903, 1929",,demolished,testimage1.png,burlington.png,,,,Wikipedia,,"https://en.wikipedia.org/wiki/Burlington_(Nashville,_Tennessee)","Burlington was built by William Elliston (1815-1870) and his wife Elizabeth on the plantation he inherited from his father, Joseph Elliston. Some of the materials from the house were reused in the construction of a new house, also called Burlington, in Green Hills.",4603,5851,,,,,,,,,,,,47.797,41.074
Central High School,,1921,1971,"1929, 1952",,demolished,testimage3.png,central-high-school.jpg,,,,Historic Nashville,,https://historicnashville.wordpress.com/2009/03/24/central-high-school/,"When Central High School opened in 1915, it was the first high school in the Davidson County school system. It is now the site of Nashville Public Television.",5356,6180,,,,,,,,,,,,55.485,37.729
Central Tennessee College Administration Building,,1876,,1903,,Presumed demolished,testimage1.png,central-tennessee-college-administration-building-1894.jpg,1894,yes,,Metro Archives,,http://nashvillearchives.org/schools-photos.html,"Central Tennessee College was founded by the Methodist Episcopal Church in 1865. It moved to land on 1st Avenue South in 1868, utilizing a house already on the property and erecting two additional buildings. Enrollment outpaced available space, and in 1876 a larger building, known as the Administration Building, was opened. In 1922 Central Tennessee College, now known as Walden College, moved to Murfreesboro Pike, and in 1939 Cameron School was built on the former 1st Avenue South campus.",5348,5865,,,,,,,,,,,,55.397,40.942
Chapel Building,Lindsley Hall,1854,extant,"1871, 1903, 1929, 1952",,,testimage1.png,lindsley-hall.jpg,1967,,,Nashville History blog,Mike Slate,https://nashvillehistory.blogspot.com/2015/09/lindsley-hall-old-and-new.html,"Designed by Augustus Heiman, Lindsley Hall when built was the primary building on the University of Nashville campus. At first it was known as the Stone Building and later the Chapel Building. After the original Lindsley Hall was torn down at some point in the early 20th century, the Chapel Building took the name Lindsley Hall. The University of Nashville eventually became Peaboby Normal School, which departed for the former Roger Williams campus on 21st Avenue in 1914. From 1914 until 1925 Lindsley Hall housed the Vanderbilt University School of Medicine. Later it was an armory for the Tennessee National Guard, a public health center, and from 1945 to 1974 it was the home of the Nashville Children's Museum. Metro Nashville now uses it for office space.",5313,5748,,,,,,,,,,,,55.038,42.134
Christ Church,,1894,extant,"1903, 1929, 1952",,,testimage3.png,christ-church.jpg,, ,,TeVA,,https://tnsos.org/tsla/imagesearch/citation.php?ImageID=3064,Christ Church is the cathedral church of the Episcopal Diocese of Tennessee. The tower was added in 1947.,5027,5635,,,,,,,,,,,,52.121,43.28
"City Hall and Market House, 1st",,1855,1897,1871,,demolished,testimage3.png,city-hall-and-market-house-1st.jpg,,,,Nashville History on Facebook,,https://www.facebook.com/nashvillehistory/photos/p.459677204228192/459677204228192/,"Nashville's second city hall and market house replace a similar structure built in 1829. The 1855 complex was designed by Augustus Heiman and continued the pattern of having a long, low section of market stalls bookended by two taller buildings mostly devoted to public purposes. The two-story buildings at each end were enlarged to three stories, each bearing two square cupolas. The first floor of both buildings may have been devoted to revenue-raising commercial space. The second floor of the south end held the offices of various city officials and departments: the mayor, the auditor, tax collectors, the treasurer, the city recorder, and the police department. The third floor was a courtroom. The north end housed assembly rooms for city councilmen on the second floor and meeting space for a fraternal organization, the Improved Order of Red Men, on the third.
The market stalls, also called the City Market or the Market House, are the direct ancestors of today's farmer's market. One key difference is that in addition to meat and produce, until 1864 human beings were sometimes sold there.
On the night of January 2nd, 1897, a fire broke out in Lebeck Brothers' dry goods store and spread to several nearby buildings before it could be extinguished. The south end of the city hall-market house complex, containing city offices, caught fire. A fire crew trying to access water in a cistern adjacent to city hall found that the cistern had been paved over. A crowd watching the proceedings chanted ""Let it burn!"", due either to their animosity toward city government or their disgust at the dilapidated state of the building. The south end was badly damaged and was replaced by a grander city hall the following year; the north end was undamaged.",5114,5452,,,,,,,,,,,,53.007,45.145
"City Hall and Market House, 2nd",,1898,1935,"1903, 1929",,demolished,testimage1.png,city-hall-and-market-house-2nd-ca1900.jpg,ca 1900,,,Nashville Library,,https://cdm15769.contentdm.oclc.org/digital/collection/nr/id/348/rec/4,"On January 2nd, 1897, the south end of the city hall and market house complex was damaged by a fire originating across the street in Lebeck Brothers' dry goods store. It is not clear how many market stalls were damaged, but the building on the north end was untouched. Over the next year, a larger city hall building with a single tower was built and was occupied in March 1898. The market stalls and the north end were demolished in 1935 in preparation for the construction of the current courthouse. The south end was left standing until 1937.",5117,5457,"An 1829 notice in the Nashville Whig, announced the completion of a new Market House. Being 272 feet long and 62 feet wide with a two story structure at each. The rooms at the north end appropriated for use of the city corporation, the south end housed the museum of Dr. Troost. - The National Banner and Nashville Whig, Jan. 20, 1829.

City Market, 1870
Strange to say, Nashville has but one General Market-house, and, if we may be allowed the suggestion, would intimate a very inferior one at that. Instead of well-appointed marketplaces, distributed at convenient intervals throughout the City, like most of her rival sisters, the people of Nashville, from all quarters of the town, are compelled to resort to this mart for their supplies. However, in the absence of anything better arranged, or more attractive, as to appearanees, the place is liberally patronized, and its business necessarily gives employment to hurnlrcds of persons. A portion of the markethouse, as we understaud, was built about the year 1827 or '28. In 1855 it was enlarged and remodelled, and the addition of the City Hall made to it; but the work, as intended, was never fully carried out, as it was proposed to build a public hall, extending over the entire marketplace, and accessible from both the north and south ends. The present value of the markethouse is about $55,000. It is ___ feet long and ___ feet wide, and contains 100 stalls. These stalls are a source of considerable revenue to the city, and yield about $45,000 per annum.

City Hall. 1870
Although occupying the upper portion of the markethouse building, yet, our city hall is worthy of separate attention. If the design of the architect had been fully carried out, when the addition of the city hall was made to the markethouse, in 1855, it would have been, no doubt, much more attractive and convenient than at present. The public hall, as before stated, would have been immediately over the marketplace, and the present city hall, or halls, used only as office rooms for municipal dignitaries. As it is, they have no direct connection, and in reality, might be considered two buildings - being built, as they are, over the extreme ends of the building. They are each three stories high, and are surmounted each by two cupolas; one at every corner. The cupola at the southeast corner contains the central fire alarm bell, which is connected with the Eclipse Steam Engine Honse, adjoining. The second story of the south end is divided up into offices for the mayor, city auditor, city tax collectors, city treasurer, water tax collector, superintendent of the waterworks, city recorder, and police headquarters. The third story of the building is the recorder's, or city police, courtroom. The north end of the city hall is of similar size as the other, but in the interior is differently constructed. It has but one stairway, which leads up from the northwest corner. The second story is occupied entirely, save the stairway lobby, by the assembly rooms of the Board of Aldermen and Councilmen. The third story is occupied by an organization known as the Improved Order of Red Men, as a council chamber or ""wigwam"".

City Hall, 1880
That venerable establishment, which serves the City of Nashville the double purpose of City Hall and Market House, is among the oldest"" and most unsightly of all our public institutions, A portion of the building was erected in 1827 or 1828. In 1855, it was remodeled and enlarged, and the addition of the city hall made to it; but the work, as intended, was never fully carried out, as it was proposed to build a public hall, extending over the entire market-place, and accessible from both the north and south ends. Some years ago an effort was made to remove this building, but the projectors were met by the stubborn fact that the General Assembly of North Carolina, in 1784, reserved four acres (the present Public Square) for public buildings, and the question has never been settled, whether the city could divert the space to other purposes. The writer is not a prophet, but he dares prophesy that ten years from now the demands of progressive civilization will have removed the market-place, and on the present site thereof, a superb and creditable City Hall will be erected. Furthermore, that the ""Public Square"" ""will lose its primitive nomenclature, and be known to the next generation as ""City Hall Square,"" or ""Court Square."" The present building cost $55,000, .and on the first floor has 100 stalls. The upper stories contain the council chambers, and the offices of the municipal authorities.

City Hall, 1897
Nashville's City Hall, imposing three-story brick and stone building with tower, located on Public Square, completed. Planned since January 1896, when fire almost destroyed old building, construction progressed steadily during the past year. George Stainback, Bennet H. Beazley, and William T. Smith, recently elected chairman, Board of Public Works and Affairs, supervised construction. Mayor R.H. Dudley, members of Board of Public Works, and other officials occupy offices on second floor of City Hall, with first floor rental property and City Council Chambers on third floor.

1897 Fire
FIRE IN NASHVILLE. LARGE BUSINESS BUILDINGS WERE DESTROYED LAST NIGHT. Flames That Started in a Dry Goods Store Burned Over an Area of a Block and a Half.

Nashville, Tenn., January 3d, 12:30 a. m. -Lebeck Brothers, wholesale and retail dry goods; Grimes, Daily and Robinson, dry goods dealers, and the public market, having an area of a block and a half, have been totally destroyed by fire, which started about 11 o'clock. The fire started in Lebeck Brothers'. Lebeck's insurance is $100,000. It is impossible to give others in detail, but insurance men approximate it at $700,000. The falling of the south wall of the Burns building did more to check the flames than anything else, completely burying in brick and mortar the small houses, and making a gap that the fire could not jump on Market street where it looked as though by the aid of the wind a tremendous conflagration was in progress. Crushing walls and showers of flaming sparks added terror to the occasion. The marvellous thing about the disaster is that no fatalities occurred. Lebeck Brothers, in whose building the fire started, are extensive wholesale and retail dry goods merchants. The fire originated in the second story of Lebeck Brothers and spread westward. At 12:30 A. M. a terrific wind arose from the southwest which fanned the flames into a fury. The City Hall and market, which is located opposite the ruined buildings, caught from sparks and was very seriously damaged. Burns & Co., harness manufacturers, located on Market street in the rear of Lebeck Bros., caught at 12:15 and was totally ruined. The total loss at this hour is estimated at $1,000,000. Telegrams have been sent to Louisville, Memphis and Chattanooga for help and the tire has little signs of abatement. At 1:05 o'clock tlie rear walls of the Burns saddlery store fell through the jewelry store of B. H. Stenf & Co., crushing a number of people. Charles Thompson is the only one reported seriously injured.",city-hall-and-market-house-2nd-ca1905.jpg,ca 1905,Nashville Library,,https://cdm15769.contentdm.oclc.org/digital/collection/nr/id/7759/rec/2,,,,,,53.038,45.094
City Market,Ben West Building,1937,extant,1952,,,testimage2.png,city-market-1939.jpg,1939,,,LoC,,https://www.loc.gov/item/2006686174/,"The City Market Building replaced the market stalls that had existed on the Public Square since 1802. It was built with funds fron the Public Works Administration. It proved to be too small, and the market moved in 1955 to open-air sheds at its current site on 8th Avenue North. The City Market Building, now known as the Ben West Municipal Building, houses Chancery Court, Circuit Court, and city offices.",5124,5421,,,,,,,,,,,,53.109,45.46
City Reservoir,,1889,extant,"1903, 1929, 1952",,,testimage4.png,city-reservoir-1.jpg,,,,Nashville Library,,https://digital.library.nashville.org/digital/collection/nr/id/6970/,"The highest of a trio of hills guarding Nashville's southern approaches, Kirkpartrick's Hill was the site of Fort Casino during the Civil War. The fort was a cross-shaped blockhouse with earthen parapets on three sides that contained artillery. 
The elevation that made the hill a desirable location for a fort also made it a good location for the city's third reservoir, replacing the reservoir on Rolling Mill Hill. Construction of the reservoir began in 1886 and took three years to complete, obscuring all traces of the old fort. The walls are 34-feet high and can hold as much as 51 million gallons of water in two separate basins. Water was pumped from the Cumberland River into the western half of the reservoir, and silt was allowed to settle. The silt-free water then flowed into the eastern half, and from there was distributed to consumers.
A little after midnight on November 5th, 1912, the same day Woodrow Wilson was elected president, a segment of the reservoir's southeastern wall gave way. Years of slow seepage had undermined a section of wall on the reservoir's southeastern side. Millions of gallons of water cascaded down the hill, pushing away tons of earth and rock fill and scouring a portion of the hill down to the bedrock. Houses were washed off their foundations, and people floated out of their houses still in their beds. Remarkably, no one was killed in the disaster. The repaired section of the reservoir wall, about 175 feet in length, can still be distinguished today.",5080,6085,,city-reservoir-1912.jpg,1912,TSLA Files,,https://sharetngov.tnsosfiles.com/tsla/exhibits/disasters/images/floods/3456.jpg (2),,,,,,52.666,38.695
Claiborne Mansion,Tennessee School for the Blind,1850s,,"1871, 1903, 1929, 1952",,,,tennessee-school-for-the-blind.jpg,,,,Ebay,,https://www.ebay.com/itm/141898981171,"Micajah Greene Lewis Claiborne served for 23 years in the US Navy, rising to the rank of lieutenant. Sometime after his 1850 retirement, he built this mansion on Rolling Mill Hill. In 1853 the state erected a building for the Tennessee School for the Blind directly across Hermitage Avenue from Claiborne's mansion. During the Civil War the school had been used as a hospital and was badly damaged by a fire. In 1873 Claiborne's house was offered for sale and was bought by John M. Lea, a lawyer, judge, and former mayor of Nashville. He immediately donated it to the School for the Blind, which was still in need of a permanent building. The school remained in the old Claiborne mansion until 1952 when it moved to its current home on Stewarts Ferry Pike.",5368,5702,,tennessee-school-for-the-blind-1905.jpg,1905,Nashville History blog,,https://nashvillehistory.blogspot.com/2015/09/nashville-points-of-interest-1905.html,tennessee-school-for-the-blind-1882.jpg,1882,TSLA,,https://tnsos.org/tsla/imagesearch/citation.php?ImageID=4719,55.6,42.603
Cleveland Hall,,1839,extant,"1871, 1903, 1929, 1952",,,testimage2.png,cleveland-hall-1940.png,1940, ,,TeVA,,https://teva.contentdm.oclc.org/digital/collection/p15138coll25/id/1382/rec/3,"Originally the home of Stockly Donelson (1805-1888), Rachel Jackson's nephew, and his wife Phila Ann, Cleveland Hall is still owned by the Donelson family.",7877,4018,,,,,,,,,,,,81.155,59.827
Clover Bottom,,1859,extant,"1871, 1903, 1929, 1952",,,testimage4.png,clover-bottom.jpg,, ,,TSLA,,https://tnsos.org/tsla/imagesearch/citation.php?ImageID=917,"Built by Dr. James Hoggat and his wife Mary Ann, the house was the center of the 1500-acre Clover Bottom Plantation. At the outbreak of the Civil War, the farm was worked by 60 slaves. It is now occupied by the Tennessee Historical Commission.",7463,5390,"One of the South's most noted estates, scene of the famous horse race between General Andrew Jackson's ""Truxten"" and Col. Joseph Erwin's ""Ploughboy"" in 1806.",,,,,,,,,,,76.958,45.824
